podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
1100,0.2,0.4,4,4,1.0,0.10,0.5,10732465,0.263,10504892,0.268,0,0.000
1100,0.2,0.4,4,4,1.0,0.10,0.5,10815950,0.180,10497734,0.185,3771075,0.495
1100,0.2,0.4,4,4,1.0,0.10,0.5,8844813,0.294,8661901,0.300,3850386,0.709
1100,0.2,0.4,4,4,1.0,0.10,0.5,11862386,0.199,11485543,0.205,4255181,0.643
1100,0.2,0.4,4,4,1.0,0.10,0.5,6308914,0.331,6848663,0.305,3812434,0.629
1100,0.2,0.4,4,4,1.0,0.10,0.5,10639891,0.266,11660176,0.243,7637036,0.498
1100,0.2,0.4,4,4,1.0,0.10,0.5,10147177,0.224,9782088,0.232,4770460,0.520
1100,0.2,0.4,4,4,1.0,0.10,0.5,6281592,0.303,6220528,0.306,2921152,0.759
1100,0.2,0.4,4,4,1.0,0.10,1.0,9291048,0.216,9378176,0.214,3556610,0.607
1100,0.2,0.4,4,4,1.0,0.10,1.0,9447717,0.200,9982537,0.190,2900788,0.602
1100,0.2,0.4,4,4,1.0,0.10,1.0,9711757,0.290,9935917,0.284,0,0.000
1100,0.2,0.4,4,4,1.0,0.10,1.0,12363793,0.157,11738860,0.165,3143543,0.501
1100,0.2,0.4,4,4,1.0,0.10,1.0,8359641,0.311,8330546,0.312,3457229,0.710
1100,0.2,0.4,4,4,1.0,0.10,1.0,11921444,0.198,11447559,0.206,3784070,0.649
1100,0.2,0.4,4,4,1.0,0.10,1.0,6886562,0.303,7038656,0.296,3375402,0.651
