podCount,alpha,density,replicaCount,nodeCount,CCR,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
100,0.8,0.4,4,4,5.0,0.5,603534,0.800,635622,0.800,567975,0.800
100,0.8,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.5,488718,0.533,551036,0.457,521912,0.457
100,0.8,0.4,4,4,5.0,0.5,410832,0.800,420396,0.800,453591,0.800
100,0.8,0.4,4,4,5.0,0.5,381438,0.533,439930,0.533,408157,0.533
100,0.8,0.4,4,4,5.0,0.5,277435,0.769,284426,0.787,257823,0.770
100,0.8,0.4,4,4,5.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,0.5,519067,0.457,555965,0.457,541375,0.457
100,0.8,0.4,4,4,5.0,1.0,538748,0.800,553942,0.800,509594,0.800
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,569870,0.800,545350,0.800,462228,0.800
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,439039,0.457,485449,0.457,425272,0.457
100,0.8,0.4,4,4,5.0,1.0,365278,0.800,409267,0.800,457692,0.800
100,0.8,0.4,4,4,5.0,1.0,374754,0.533,382069,0.533,347052,0.533
100,0.8,0.4,4,4,5.0,1.0,258630,0.759,263351,0.768,219165,0.795
100,0.8,0.4,4,4,5.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,1.0,489899,0.457,517431,0.457,471555,0.457
100,0.8,0.4,4,4,5.0,2.0,449692,0.800,476969,0.800,399620,0.800
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,460733,0.800,502892,0.800,425040,0.800
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,411443,0.457,439025,0.457,370058,0.457
100,0.8,0.4,4,4,5.0,2.0,0,0.000,321408,0.800,306797,0.800
100,0.8,0.4,4,4,5.0,2.0,275228,0.533,314536,0.533,265758,0.533
100,0.8,0.4,4,4,5.0,2.0,214660,0.787,221228,0.784,198791,0.772
100,0.8,0.4,4,4,5.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,5.0,2.0,435061,0.457,447568,0.457,412377,0.457
100,0.8,0.4,4,4,10.0,0.1,0,0.000,642301,0.800,606258,0.800
100,0.8,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.1,608005,0.800,668565,0.800,624157,0.800
100,0.8,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.1,584990,0.457,620354,0.457,577634,0.457
100,0.8,0.4,4,4,10.0,0.1,515905,0.800,514721,0.800,469081,0.800
100,0.8,0.4,4,4,10.0,0.1,505106,0.533,514863,0.533,476387,0.533
100,0.8,0.4,4,4,10.0,0.1,316104,0.758,316049,0.775,297758,0.765
100,0.8,0.4,4,4,10.0,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.1,528851,0.457,628110,0.457,573713,0.457
100,0.8,0.4,4,4,10.0,0.5,623992,0.800,602026,0.800,556884,0.800
100,0.8,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.5,603534,0.800,635622,0.800,527668,0.800
100,0.8,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.5,564328,0.457,558527,0.457,504585,0.457
100,0.8,0.4,4,4,10.0,0.5,450030,0.800,453103,0.800,439412,0.800
100,0.8,0.4,4,4,10.0,0.5,437408,0.533,447432,0.533,395852,0.533
100,0.8,0.4,4,4,10.0,0.5,273784,0.780,308079,0.750,249337,0.792
100,0.8,0.4,4,4,10.0,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,0.5,530533,0.457,555965,0.457,517712,0.457
100,0.8,0.4,4,4,10.0,1.0,540786,0.800,553942,0.800,499878,0.800
100,0.8,0.4,4,4,10.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,1.0,576415,0.800,579122,0.800,512962,0.800
100,0.8,0.4,4,4,10.0,1.0,384880,0.533,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,1.0,487425,0.457,506139,0.457,454855,0.457
100,0.8,0.4,4,4,10.0,1.0,385213,0.800,379380,0.800,381696,0.800
100,0.8,0.4,4,4,10.0,1.0,374754,0.533,382069,0.533,350370,0.533
100,0.8,0.4,4,4,10.0,1.0,258630,0.759,251713,0.775,217287,0.805
100,0.8,0.4,4,4,10.0,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,1.0,491576,0.457,501044,0.457,444328,0.457
100,0.8,0.4,4,4,10.0,2.0,468767,0.800,506068,0.800,435884,0.800
100,0.8,0.4,4,4,10.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,2.0,455702,0.800,502892,0.800,433494,0.800
100,0.8,0.4,4,4,10.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,2.0,413443,0.457,428231,0.457,369386,0.457
100,0.8,0.4,4,4,10.0,2.0,289436,0.800,314201,0.800,306797,0.800
100,0.8,0.4,4,4,10.0,2.0,294467,0.533,297306,0.533,265758,0.533
100,0.8,0.4,4,4,10.0,2.0,206677,0.761,231135,0.783,171593,0.799
100,0.8,0.4,4,4,10.0,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,4,10.0,2.0,434653,0.457,465886,0.457,338434,0.457
100,0.8,0.4,4,8,0.5,0.1,300735,0.843,329465,0.849,285931,0.905
100,0.8,0.4,4,8,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,0.1,339389,0.844,355090,0.855,331768,0.905
100,0.8,0.4,4,8,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,0.1,273859,0.494,306746,0.494,254086,0.512
100,0.8,0.4,4,8,0.5,0.1,268478,0.838,276858,0.819,234166,0.943
100,0.8,0.4,4,8,0.5,0.1,256087,0.580,275265,0.570,230701,0.615
100,0.8,0.4,4,8,0.5,0.1,168619,0.848,182870,0.808,170909,0.810
100,0.8,0.4,4,8,0.5,0.1,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,0.1,309858,0.477,313110,0.477,280948,0.515
100,0.8,0.4,4,8,0.5,0.5,278302,0.873,288668,0.862,256625,0.909
100,0.8,0.4,4,8,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,0.5,316832,0.839,302998,0.861,294347,0.874
100,0.8,0.4,4,8,0.5,0.5,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,0.5,240921,0.496,237681,0.505,221556,0.495
100,0.8,0.4,4,8,0.5,0.5,226862,0.854,238982,0.829,206577,0.930
100,0.8,0.4,4,8,0.5,0.5,221013,0.574,228450,0.574,220906,0.571
100,0.8,0.4,4,8,0.5,0.5,155853,0.853,164224,0.822,137247,0.931
100,0.8,0.4,4,8,0.5,0.5,0,0.000,270110,0.576,0,0.000
100,0.8,0.4,4,8,0.5,0.5,260313,0.478,281957,0.477,242332,0.530
100,0.8,0.4,4,8,0.5,1.0,250160,0.888,267520,0.843,240580,0.876
100,0.8,0.4,4,8,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,1.0,284587,0.860,288841,0.871,273859,0.860
100,0.8,0.4,4,8,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,1.0,218895,0.486,220081,0.486,179591,0.535
100,0.8,0.4,4,8,0.5,1.0,204768,0.827,204005,0.845,168643,0.982
100,0.8,0.4,4,8,0.5,1.0,195761,0.577,194331,0.576,174877,0.589
100,0.8,0.4,4,8,0.5,1.0,150139,0.828,148836,0.818,128929,0.870
100,0.8,0.4,4,8,0.5,1.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,1.0,227889,0.507,204869,0.508,222452,0.499
100,0.8,0.4,4,8,0.5,2.0,207641,0.871,218195,0.884,194701,0.879
100,0.8,0.4,4,8,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,2.0,247855,0.850,252665,0.872,216824,0.908
100,0.8,0.4,4,8,0.5,2.0,0,0.000,0,0.000,0,0.000
100,0.8,0.4,4,8,0.5,2.0,171301,0.484,177295,0.493,141197,0.493
100,0.8,0.4,4,8,0.5,2.0,155173,0.854,163502,0.831,128920,1.024
100,0.8,0.4,4,8,0.5,2.0,155319,0.564,165378,0.564,138494,0.590
100,0.8,0.4,4,8,0.5,2.0,123780,0.815,132334,0.797,104708,0.898
100,0.8,0.4,4,8,0.5,2.0,0,0.000,0,0.000,0,0.000
